perturbagen	down-imputed	down-measured	up-imputed	up-measured
3094	1	4	2	4
3098	13	33	19	28
3099	0	1	1	0
3101	1	0	1	1
3104	22	38	2	9
3105	2	18	0	9
3106	1	8	0	3
3108	1	8	5	8
3109	16	52	14	25
3113	10	26	8	12
3115	4	22	4	4
3117	14	24	4	17
3119	3	26	1	11
3122	4	25	3	5
3123	13	29	9	23
3125	7	27	6	21
3126	3	32	6	18
3127	6	26	2	5
3131	5	14	4	6
3146	96	80	35	73
3148	6	6	9	6
3149	3	28	6	11
3155	14	31	2	5
3156	9	12	3	10
3157	61	75	51	58
3158	2	8	4	2
3159	7	23	5	1
3161	6	36	3	10
3162	0	2	3	7
3163	6	37	3	17
3169	1	3	2	7
3170	5	13	8	6
3171	6	23	6	13
3172	3	11	6	6
3174	6	28	11	17
3176	5	9	1	2
3177	6	12	0	3
3198	12	41	13	18
3199	4	15	0	8
3202	22	54	42	21
3203	3	7	1	4
3205	0	3	0	4
3206	7	14	5	7
3212	8	21	8	10
3214	5	13	2	12
3215	10	34	2	13
3217	10	24	10	5
3221	35	46	23	21
3225	1	12	5	5
3226	3	28	4	12
3242	167	108	127	96
3248	17	33	10	13
3249	2	5	3	12
3251	53	44	80	39
3265	194	111	93	103
3269	4	24	7	15
3275	5	9	1	4
3276	10	20	1	12
3280	9	21	1	9
3281	3	12	4	9
3294	15	19	6	16
3295	2	12	3	4
3297	9	25	15	16
3298	10	12	3	6
3300	4	30	6	16
3303	3	17	1	10
3304	0	8	0	5
3306	0	12	2	6
3308	8	24	5	7
3309	112	89	280	77
3312	15	31	11	24
3313	30	38	18	24
3315	9	26	2	5
3320	10	38	18	21
3326	10	13	5	4
3329	10	20	5	4
3336	1	8	3	8
3337	12	21	13	15
3339	12	24	4	12
3358	3	4	0	0
3364	2	7	1	2
3373	3	14	3	14
3376	2	7	4	4
3383	41	49	10	38
3385	1	7	2	2
3397	1	4	1	1
3398	295	143	275	131
3399	8	34	7	19
3400	3	17	2	8
3416	5	16	5	6
3417	4	14	6	3
3418	2	11	3	1
3419	6	27	6	15
3420	0	23	0	8
3421	5	19	3	7
3428	2	10	1	7
3431	4	9	2	6
3455	2	16	1	3
3456	24	34	21	41
3458	3	13	7	8
3459	5	8	2	6
3460	10	10	5	6
3476	15	34	9	21
3479	12	36	9	8
3480	18	64	22	45
3481	9	15	5	10
3482	26	47	37	26
3485	144	103	174	64
